artigoEmPeriodico	2018		Curtir, compartilhar e armazenar: os arquivos fotográficos em redes sociais	AGORA (FLORIANOPOLIS)	MARIZ, A. C. A.; DUTRA, M. S.	Qualis nao identificado	AGORA (FLORIANOPOLIS)
artigoEmPeriodico	2018	http://dx.doi.org/10.1590/1806-93472018v38n78-01	Arquivos e Arquivologia na França e no Brasil: marcos históricos e contextos singulares	REVISTA BRASILEIRA DE HISTÓRIA (ONLINE)	MARQUES, ANGELICA ALVES DA CUNHA ; RODRIGUES, GEORGETE MEDLEG ; NOUGARET, CHRISTINE	Qualis nao identificado	REVISTA BRASILEIRA DE HISTÓRIA (ONLINE)
artigoEmPeriodico	2018		ERVA MATE EM DEBATE: FEDERICO BORROMEU, JESUÍTAS E MÉDICOS	ANTIGUOS JESUITAS EN IBEROAMÉRICA	MASSIMI, M	Qualis nao identificado	ANTIGUOS JESUITAS EN IBEROAMÉRICA
artigoEmPeriodico	2018		Apropriações da psicologia experimental por dois autores jesuítas nas primeiras décadas do século XX	TEMAS EM PSICOLOGIA (RIBEIRÃO PRETO)	MASSIMI, M	Qualis nao identificado	TEMAS EM PSICOLOGIA (RIBEIRÃO PRETO)
artigoEmPeriodico	2018		Problemas relacionados a Biases em Sistemas de Organização do Conhecimento: perspectivas para a Representação de Assunto	IRIS - Revista de Informação, Memória e Tecnologia	MILANI, S. de O. ; GUIMARÃES, J.A.C.	Qualis nao identificado	IRIS - Revista de Informação, Memória e Tecnologia
artigoEmPeriodico	2018		A construção de um plano de classificação arquivístico colaborando com a inovação incrementa	Encontros Bibli (UFSC)	MINTEGUI, E.; SILVA, B. A. ; KARPINSKI, C.	Qualis nao identificado	Encontros Bibli (UFSC)
artigoEmPeriodico	2018		METATEORIA, CIÊNCIA DA INFORMAÇÃO E ORGANIZAÇÃO DO CONHECIMENTO: UM ESTUDO A PARTIR DA LITERATURA CIENTÍFICA DA ÁREA	BRAZILIAN JOURNAL OF INFORMATION SCIENCE	MONTOYA-MOGOLLON, J. B. ; DALESSANDRO, R. C. ; TOGNOLI, Natália Bolfarini	B1	Journal of Information Science
artigoEmPeriodico	2018		Construção Colaborativa de Representações para a Disseminação de Dados Agrícolas: Um Estudo do Portal CoDAF ﻿	Encontros Bibli (UFSC)	MOREIRA, F. M. ; ALEIXO, D. V. B. S. ; BISI, P. H. S. ; FRANCHI, L. F. ; SANT'ANA, R. C. G.	Qualis nao identificado	Encontros Bibli (UFSC)
artigoEmPeriodico	2018		La fotografía en la filosofía de la diferencia	REVISTA FERMENTARIO	MOSTAFA, S. P. ; MANINI, Miriam P. ; MANINI, MIRIAM PAULA	Qualis nao identificado	REVISTA FERMENTARIO
artigoEmPeriodico	2018		A cena teatral documentada: identificação arquivística e processos de criação	MANUSCRÍTICA (SÃO PAULO)	MOTA, M. M.; SEVERINO, I. B. S.	Qualis nao identificado	MANUSCRÍTICA (SÃO PAULO)
artigoEmPeriodico	2018	http://dx.doi.org/10.5195/BIBLIOS.2018.424	Licenças Creative Commons nos periódicos científicos brasileiros de Ciência da Informação: acesso aberto ou acesso grátis?	BIBLIOS (LIMA)	MURIEL-TORRADO, E. ; PINTO, A. L.	Qualis nao identificado	BIBLIOS (LIMA)
artigoEmPeriodico	2018		Diseño de información, ciencia de la información y organización del conocimiento: un análisis de dominio desde la perspectiva de la complejidad	Scire: representacion y organizacion del conocimiento	NAKANO, NATALIA ; ÁVILA, D. M. ; JORENTE, MARIA JOSÉ VICENTINI ; PADUA, M. C.	Qualis nao identificado	Scire: representacion y organizacion del conocimiento
artigoEmPeriodico	2018	http://dx.doi.org/10.12957/periferia.2018.33532	CONTORNOS DA EDUCAÇÃO FEMININA: A PROPOSTA EDUCATIVA DO EDUCANDÁRIO NOSSA SENHORA DA PIEDADE, 1925-1930	PERIFERIA (DUQUE DE CAXIAS)	NETO, ALEXANDRE ; HORA, DAYSE	Qualis nao identificado	PERIFERIA (DUQUE DE CAXIAS)
artigoEmPeriodico	2018	http://dx.doi.org/10.15600/2238-121x/comunicacoes.v25n2p3-27	ConscientizaÃ§Ã£o da metamorfose: discussÃ£o sobre os conceitos de inclusÃ£o e integraÃ§Ã£o no Ã¢mbito da inclusÃ£o sociodigital	REVISTA COMUNICAÇÕES	NEVES, BARBARA COELHO ; FREIRE, ISA MARIA ; SUAIDEN, EMIR JOSÉ	Qualis nao identificado	REVISTA COMUNICAÇÕES
artigoEmPeriodico	2018	http://dx.doi.org/10.1590/1679-395159388	Sentido e significado do trabalho: uma anÃ¡lise dos artigos publicados em periÃ³dicos associados Ã  Scientific Periodicals Electronic Library	CADERNOS EBAPE.BR (FGV)	NEVES, DIANA REBELLO ; NASCIMENTO, REJANE PREVOT ; FELIX JR, MAURO SERGIO ; SILVA, FABIANO ARRUDA DA ; ANDRADE, RUI OTÁVIO BERNARDES DE	Qualis nao identificado	CADERNOS EBAPE.BR (FGV)
artigoEmPeriodico	2018	http://dx.doi.org/10.15517/es.v78i1.33793	Mujeres en la música experimental y colectivos feministas en estudios sonoros en Brasil	ESCENA. Revista de las artes	NOGUEIRA, ISABEL; MELLO NEIVA, TANIA	Qualis nao identificado	ESCENA. Revista de las artes
artigoEmPeriodico	2018	http://dx.doi.org/10.5965/1984723819392018216	Itinerários do Aluno Felte Bezerra entre Sergipe e Bahia na primeira metade do século XX	LINHAS (FLORIANÓPOLIS. ONLINE)	OLIVEIRA, João Paulo Gama ; ALVES, Eva Maria Siqueira	Qualis nao identificado	LINHAS (FLORIANÓPOLIS. ONLINE)
artigoEmPeriodico	2018		O USO DA TECNOLOGIA NOS ARQUIVOS: EDUCAÇÃO, DIFUSÃO, IDENTIDADE E PESQUISA	Revista do Arquivo	OLIVEIRA, Lucia Maria Velloso de; JACCOUD, L. ; BARBATHO, R. R. G.	Qualis nao identificado	Revista do Arquivo
artigoEmPeriodico	2018		As relações entre Panizzi e Dewey: uma análise discursiva sobre suas criações e a Biblioteconomia moderna.	Informação & Informação (Online)	PEDRAO, G. B. ; MORAES, J. B. E. ; BARROS, Thiago Henrique Bragato	C	Informação & Informação (UEL. Online)
artigoEmPeriodico	2018	http://dx.doi.org/10.1590/2318-08892018000200007	Evaluation and decision making in a university library from performance indicators	Transinformacao	PEREIRA, CARLA PURCINA DE CAMPOS ; Varvakis, Gregorio	Qualis nao identificado	Transinformacao
artigoEmPeriodico	2018		Mafalda e a Escola: representações da educação argentina em cinco tirinhas de Quino	LEITURA: TEORIA E PRÁTICA	PIACENTI, R. C. ; MARTINS, M. C.	Qualis nao identificado	LEITURA: TEORIA E PRÁTICA
artigoEmPeriodico	2018	http://dx.doi.org/10.20503/recape.v8i1.32398	IDENTIDADE, PLANEJAMENTO E RESILIÊNCIA: UM ESTUDO SOBRE COMPROMETIMENTO DE CARREIRA EM ESTUDANTES DE GRADUAÇÃO EM ADMINISTRAÇÃO	REVISTA DE CARREIRAS E PESSOAS	PICHINI, FRANCIELE MARTINS ; BRITO, LUCAS CHARÃO ; PORTO, ADRIANA ; OBREGON, SANDRA LEONARA ; LOPES, Luis Felipe Dias	Qualis nao identificado	REVISTA DE CARREIRAS E PESSOAS
artigoEmPeriodico	2018		Grado del sistema tecnológico de los inventores peruanos: producción de patentes (2003/2013)	REVISTA INTERAMERICANA DE BIBLIOTECOLOGIA	PINTO, A. L.; MURIEL-TORRADO, E. ; MACEDO, D. D. J. ; PACHECO-MENDOZA, J.	Qualis nao identificado	REVISTA INTERAMERICANA DE BIBLIOTECOLOGIA
artigoEmPeriodico	2018		Petições públicas online sobre bibliotecas e bibliotecários	EM QUESTÃO (UFRGS. IMPRESSO)	PRADO, J. M. K. ; PINTO, A. L.	C	Em Questão (UFRGS. Impresso)
artigoEmPeriodico	2018		E-GOV EM CACHOEIRA PAULISTA - SP: CANAIS DE RELAÇÃO ENTRE GOVERNO MUNICIPAL E CIDADÃOS EM UM MUNICÍPIO DE PEQUENO PORTE	REVISTA BRASILEIRA DE GESTÃO E DESENVOLVIMENTO REGIONAL	RAMOS, R. L. F. ; SANTOS, M. J. ; CARNIELLO, M. F.	Qualis nao identificado	REVISTA BRASILEIRA DE GESTÃO E DESENVOLVIMENTO REGIONAL
artigoEmPeriodico	2018		Accountability: novo conceito para a Ciência da Informação?	CIÊNCIA DA INFORMAÇÃO EM REVISTA	REGO, H. de O. ; FREIRE, I. M.	Qualis nao identificado	CIÊNCIA DA INFORMAÇÃO EM REVISTA
artigoEmPeriodico	2018		Portais de transparência como objeto de estudo na Ciência da Informação	PESQUISA BRASILEIRA EM CIÊNCIA DA INFORMAÇÃO E BIBLIOTECONOMIA	REGO, H. de O. ; FREIRE, I. M.	Qualis nao identificado	PESQUISA BRASILEIRA EM CIÊNCIA DA INFORMAÇÃO E BIBLIOTECONOMIA
artigoEmPeriodico	2018		Tratamento descritivo e temático da informação: recomendações para estudos sobre aspectos semióticos na criação de registros bibliográficos	REVISTA IBERO-AMERICANA DE CIÊNCIA DA INFORMAÇÃO	REIS, D. M. ; FUJITA, M. S. L. ; ZAFALON, Z. R. ; SANTOS, P. L. V. A. C.	Qualis nao identificado	REVISTA IBERO-AMERICANA DE CIÊNCIA DA INFORMAÇÃO
artigoEmPeriodico	2018		Tratamento descritivo e temático da informação: breves recomendações para estudos sobre aspectos semióticos na criação de registros bibliográficos	REVISTA IBERO-AMERICANA DE CIÊNCIA DA INFORMAÇÃO	REIS, D. M. A. ; FUJITA, M. S. L. ; SANTOS, P. L. V. A. C. ; ZAFALON, Z. R.	Qualis nao identificado	REVISTA IBERO-AMERICANA DE CIÊNCIA DA INFORMAÇÃO
artigoEmPeriodico	2018		A Configuração das Redes Sociais de Suporte a Pessoas com Câncer: um Olhar sob o Prisma da Informação e Comunicação em Saúde	REVISTA BRASILEIRA DE CANCEROLOGIA	RIBEIRO, F. F. ; MARTELETO, R. M.	Qualis nao identificado	REVISTA BRASILEIRA DE CANCEROLOGIA
artigoEmPeriodico	2018		BNCC e o passado prático: temporalidades e produção de identidades no ensino de história	ARCHIVOS ANALÍTICOS DE POLÍTICAS EDUCATIVAS / EDUCATION POLICY ANALYSIS ARCHIVES	RODRIGUES, M. C. M.; PEREIRA, N.	Qualis nao identificado	ARCHIVOS ANALÍTICOS DE POLÍTICAS EDUCATIVAS / EDUCATION POLICY ANALYSIS ARCHIVES
artigoEmPeriodico	2018		Curadoria em serviços streaming de música: infra-poderes algorítmicos e micro-políticas da escuta	CULTURAS MIDIÁTICAS	RODRIGUES, Rodrigo F. ; CARDOSO, ANA MARIA PEREIRA	C	Culturas Midiáticas
artigoEmPeriodico	2018		REPRESENTAÇÕES MENTAIS E A DEFICIÊNCIA VISUAL: uma abordagem dos modelos mentais de Johnson Laird	Páginas A&B: arquivos e bibliotecas	RODRIGUES, T. A. ; FUJITA, M. S. L. ; DAL' EVEDOVE, P. R.	Qualis nao identificado	Páginas A&B: arquivos e bibliotecas
artigoEmPeriodico	2018	http://dx.doi.org/10.1590/2175-3369.010.002.ao02	A paisagem do Ribeirão Fortaleza em Blumenau-SC: percepção da população para a sua recuperação e valorização	URBE. REVISTA BRASILEIRA DE GESTÃO URBANA	RUDOLPHO, LUCAS DA SILVA ; KARNOPP, ZULEICA MARIA PATRICIO ; SANTIAGO, ALINA GONÇALVES	Qualis nao identificado	URBE. REVISTA BRASILEIRA DE GESTÃO URBANA
artigoEmPeriodico	2018		Socialização da informação e do conhecimento: uma proposta emancipadora para a efetivação de instrumentos de democracia participativa	INFORMAÇÃO & SOCIEDADE (UFPB. ONLINE)	SAEGER, M. M. M. T. ; PINHO NETO, J. A. S. ; LOUREIRO, JOSÉ MAURO MATHEUS	Qualis nao identificado	INFORMAÇÃO & SOCIEDADE (UFPB. ONLINE)
artigoEmPeriodico	2018	http://dx.doi.org/10.5935/1981-4747.20180014	QUALIDADE DE VIDA NO TRABALHO: PERCEPÇÃO DE SATISFAÇÃO DOS FUNCIONÁRIOS DE UMA EMPRESA DO COMÉRCIO	CIÊNCIAS SOCIAIS EM PERSPECTIVA	SANTOS, ADRIANA PEDROSO DOS ; FABRICIO, A. ; ROTILI, LIANE BEATRIZ ; LOPES, Luis Felipe Dias ; BAGGIO, DANIEL KNEBEL	Qualis nao identificado	CIÊNCIAS SOCIAIS EM PERSPECTIVA
artigoEmPeriodico	2018	http://dx.doi.org/10.12957/rdc.2018.29621	Alternativas Legais para a Apropriação de Imóveis Abandonados: Um Estudo de Caso no Município de Salvador/BA.	REVISTA DE DIREITO DA CIDADE	SANTOS, B. O. ; REIS, R. B. ; BOAVENTURA, Edivaldo M.	Qualis nao identificado	REVISTA DE DIREITO DA CIDADE
artigoEmPeriodico	2018		A valorização do grafite como documento de arquivo: uma abordagem interdisciplinar entre a competência em informação e a teoria da complexidade	REVISTA IBERO-AMERICANA DE CIÊNCIA DA INFORMAÇÃO	SANTOS, B. R. P. ; FERNANDES, M. V. L. ; DAMIAN, I. P. M. ; ALBUQUERQUE, A. C.	Qualis nao identificado	REVISTA IBERO-AMERICANA DE CIÊNCIA DA INFORMAÇÃO
artigoEmPeriodico	2018	http://dx.doi.org/10.22201/iibi.24488321xe.2018.74.57905	Preservação de documentos arquivísticos digitais: reflexões sobre o uso de padrões abertos nos acervos	Investigacion Bibliotecologica	SANTOS, H. M. ; FLORES, D.	Qualis nao identificado	Investigacion Bibliotecologica
artigoEmPeriodico	2018		A OBSOLESCÊNCIA DO CONHECIMENTO EM PRESERVAÇÃO DIGITAL	CIÊNCIA DA INFORMAÇÃO EM REVISTA	SANTOS, H. M. ; FLORES, D.	Qualis nao identificado	CIÊNCIA DA INFORMAÇÃO EM REVISTA
artigoEmPeriodico	2018	http://dx.doi.org/10.5195/BIBLIOS.2017.326	Novos rumos da preservação digital: das estratégias aos sistemas informatizados	BIBLIOS (LIMA)	SANTOS, H. M. ; FLORES, D.	Qualis nao identificado	BIBLIOS (LIMA)
artigoEmPeriodico	2018		Direito à informação e à participação: uma avaliação das ferramentas dispostas nos portais de governo estaduais	INFORMAÇÃO & SOCIEDADE (UFPB. ONLINE)	SANTOS, P. M. ; ROVER, A. J.	Qualis nao identificado	INFORMAÇÃO & SOCIEDADE (UFPB. ONLINE)
artigoEmPeriodico	2018	http://dx.doi.org/10.1590/1806-93472018v38n78-06	A institucionalização da arquivologia no Brasil e a reforma administrativa no primeiro governo Vargas (1935-1945)	REVISTA BRASILEIRA DE HISTÓRIA (IMPRESSO)	SANTOS, PAULO ROBERTO ELIAN DOS	Qualis nao identificado	REVISTA BRASILEIRA DE HISTÓRIA (IMPRESSO)
artigoEmPeriodico	2018		Questões para a Arquivística no presente	INFORMAÇÃO ARQUIVISTICA	SCHMIDT, C. M. S	Qualis nao identificado	INFORMAÇÃO ARQUIVISTICA
artigoEmPeriodico	2018		Como surgem as políticas arquivísticas: o 1º Leilão da Memória Nacional e o Sistema de Arquivos do Estado de São Paulo (SAESP)	REVISTA BRASILEIRA DE HISTÓRIA (ONLINE)	SCHMIDT, C. M. S. ; MATTOS, R. ; TOGNOLI, Natália Bolfarini	Qualis nao identificado	REVISTA BRASILEIRA DE HISTÓRIA (ONLINE)
artigoEmPeriodico	2018	http://dx.doi.org/10.1590/1806-93472018v38n78-08	Como surgem as polÃ­ticas arquivÃ­sticas: o 1o LeilÃ£o da MemÃ³ria Nacional e o Sistema de Arquivos do Estado de SÃ£o Paulo (Saesp)	REVISTA BRASILEIRA DE HISTÓRIA (ONLINE)	SCHMIDT, CLARISSA MOREIRA DOS SANTOS; MATTOS, RENATO DE ; TOGNOLI, NATALIA BOLFARINI	Qualis nao identificado	REVISTA BRASILEIRA DE HISTÓRIA (ONLINE)
artigoEmPeriodico	2018		O arquivista na aurora digital: diálogo com Bruno Delmas	REVISTA DO ARQUIVO MUNICIPAL (SÃO PAULO)	SCHWAITZER, L. B. S	Qualis nao identificado	REVISTA DO ARQUIVO MUNICIPAL (SÃO PAULO)
artigoEmPeriodico	2018		Extração e visualização de informação em publicações científicas: análise da distribuição de artigos open access com base em currículos de pesquisadores da comunidade brasileira	Revista Conhecimento em Ação	SEMELER, A. R. ; PINTO, A. L. ; RODRIGUES, R. S. ; NASCIMENTO, J. V.	Qualis nao identificado	Revista Conhecimento em Ação
artigoEmPeriodico	2018		UMA PROPOSTA DE SERVIÇO DE REFERÊNCIA VIRTUAL PARA AS BIBLIOTECAS DA UNIVERSIDADE FEDERAL FLUMINENSE	Páginas a&b: arquivos e bibliotecas	SILVA, Fernanda Daniel da ; LIMA, Marcia H. T. de	Qualis nao identificado	Páginas a&b: arquivos e bibliotecas
artigoEmPeriodico	2018		MURALHAS RELIGIOSAS DENTRO DO SEMINÁRIO CATÓLICO: Homoafetividade e religião na obra Em nome do desejo, de João Silvério Trevisan	TEOLITERÁRIA: REVISTA BRASILEIRA DE LITERATURAS E TEOLOGIAS	SILVA, J. C.; SILVEIRA, E. J. S.	Qualis nao identificado	TEOLITERÁRIA: REVISTA BRASILEIRA DE LITERATURAS E TEOLOGIAS
artigoEmPeriodico	2018		EDUCAÇÃO AMBIENTAL NO ENSINO BÁSICO: A ARTE COMO FERRAMENTA DE SENSIBILIZAÇÃO PARA A PRESERVAÇÃO AMBIENTAL	LexCult	SILVA, M. M. M. ; SILVA, A. C. ; PEIXOTO, O. M. ; Seixas Filho, J. T. ; MELLO, S. C. R. P.	Qualis nao identificado	LexCult
artigoEmPeriodico	2018		Visual Information for digital inclusion process in hybrid libraries and librarians action	Investigacion Bibliotecologica	SILVA, R. C. ; JORENTE, Maria José Vicentini ; Caldas, Rosangela Formentini ; NAKANO, N.	Qualis nao identificado	Investigacion Bibliotecologica
artigoEmPeriodico	2018	http://dx.doi.org/10.5430/jnep.v8n8p28	Demographic and academic characteristics that contribute to burnout occurrence in nursing students-Analytic study	Journal of Nursing Education and Practice	SILVA, Rodrigo Marques da ; LOPES, Luis Felipe Dias ; BECK, CARMEM LÚCIA COLOMÉ ; GRAZZIANO, ELIANE DA SILVA ; COSTA, ANA LUCIA SIQUEIRA ; LOPES, VICTOR CAUÊ	Qualis nao identificado	Journal of Nursing Education and Practice
artigoEmPeriodico	2018		Historiografia e Epistemologia no campo da Ciência da Informação: um olhar sobre a literatura brasileira	PESQUISA BRASILEIRA EM CIÊNCIA DA INFORMAÇÃO E BIBLIOTECONOMIA	SILVA, T. J. da ; FREIRE, I. M.	Qualis nao identificado	PESQUISA BRASILEIRA EM CIÊNCIA DA INFORMAÇÃO E BIBLIOTECONOMIA
artigoEmPeriodico	2018	http://dx.doi.org/10.5433/1981-8920.2018v23n1p351	A diplomática contemporânea: reflexões sobre sua aplicabilidade na era digital	Informação & Informação (Online)	SILVA, W. J. G. ; FLORES, D.	C	Informação & Informação (UEL. Online)
artigoEmPeriodico	2018	http://dx.doi.org/10.19132/1808-5245243.297-315	Audiovisuais e Linked Data: um estudo das bases DBpedia e LMDB	EM QUESTÃO (UFRGS. IMPRESSO)	SIMIONATO, ANA CAROLINA ; CONEGLIAN, Caio Saraiva ; GONÇALEZ, Paula Regina Ventura Amorim ; SANTARÉM SEGUNDO, JOSÉ EDUARDO	C	Em Questão (UFRGS. Impresso)
artigoEmPeriodico	2018		Dinâmicas e indicadores de comunicação do XVIII Encontro Nacional de Pesquisa em Ciência da Informação: Relatos sobre o GT1 - Estudos Históricos e Epistemológicos da Ciência da Informação	PESQUISA BRASILEIRA EM CIÊNCIA DA INFORMAÇÃO E BIBLIOTECONOMIA	SOUZA, E.D. de ; FREIRE, I. M.	Qualis nao identificado	PESQUISA BRASILEIRA EM CIÊNCIA DA INFORMAÇÃO E BIBLIOTECONOMIA
artigoEmPeriodico	2018	http://dx.doi.org/10.19132/1808-5245242.280-299	As recomendações das comissões da verdade no Brasil sobre os arquivos da ditadura militar (1964- 1985): uma análise dos relatórios finais	EM QUESTÃO	TENAGLIA, MÔNICA ; RODRIGUES, GEORGETE MEDLEG	Qualis nao identificado	EM QUESTÃO
artigoEmPeriodico	2018		Diplomática: dos dipomas ao documento digital	Revista do Arquivo: uma publicação online do Arquivo do Estado de São Paulo	TOGNOLI, Natália Bolfarini	Qualis nao identificado	Revista do Arquivo: uma publicação online do Arquivo do Estado de São Paulo
artigoEmPeriodico	2018		Indicadores bibliométricos no estudo da Ontologia	BIBLIONLINE (JOÃO PESSOA)	TOMOYOSE, K. ; GALHARDO JUNIOR, F. J. ; SIMIONATO, A. C. ; ROCHA, E. S. S.	Qualis nao identificado	BIBLIONLINE (JOÃO PESSOA)
artigoEmPeriodico	2018		Vocabulários controlados e Linked Open Data: análise dos vocabulários Getty	INFORMAÇÃO@PROFISSÕES	TOMOYOSE, K. ; TRIQUES, M. L. ; SIMIONATO, A. C.	Qualis nao identificado	INFORMAÇÃO@PROFISSÕES
artigoEmPeriodico	2018	http://dx.doi.org/10.1080/00207543.2018.1424371	Modelling and symmetry breaking in scheduling problems on batch processing machines	INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH	TRINDADE, R. S. ; DE ARAÚJO, OLINTO CÉSAR BASSI ; FAMPA, MARCIA HELENA COSTA ; MÜLLER, F. M.	B1	International Journal of Production Research (Print)
artigoEmPeriodico	2018	http://dx.doi.org/10.1590/s1678-4634201844002001	Gênero e história da educação: itinerários de Rebecca Rogers	EDUCAÇÃO E PESQUISA	VIDAL, DIANA; RABELO, RAFAELA	Qualis nao identificado	EDUCAÇÃO E PESQUISA
artigoEmPeriodico	2018		Economia Criativa como alternativa à redução do emprego e renda da indústria automobilística em Taubaté	REVISTA BRASILEIRA DE GESTÃO E DESENVOLVIMENTO REGIONAL	VIEIRA, E. T. ; SANTOS, M. J. ; CARNIELLO, M. F.	Qualis nao identificado	REVISTA BRASILEIRA DE GESTÃO E DESENVOLVIMENTO REGIONAL
artigoEmPeriodico	2018		A emergência do campo de música e gênero no Brasil: reflexões iniciais	Descentrada Revista Interdisciplinaria de Feminismos y Género	ZERBINATTI, C. ; NOGUEIRA, ISABEL PORTO ; PEDRO, J. M.	Qualis nao identificado	Descentrada Revista Interdisciplinaria de Feminismos y Género
artigoEmPeriodico	2017		A prática da Arquitetura de Informação no âmbito de projeto de Enterprise Content Management: um relato de caso	Informação & Informação (Online)	AGANETTE, ELISÂNGELA CRISTINA ; TEIXEIRA, L. M.D. ; ALMEIDA, M. B.	C	Informação & Informação (UEL. Online)
artigoEmPeriodico	2017		OS REFLEXOS DA CULTURA TECNOLÓGICA NA ORGANIZAÇÃO DO PODER JUDICIÁRIO: PROPOSTA DE ESTUDO À LUZ DOS PRINCÍPIOS DA PUBLICIDADE E DA EFICIÊNCIA	Revista Direitos Emergentes na Sociedade Global	AIRES JOSÉ ROVER	Qualis nao identificado	Revista Direitos Emergentes na Sociedade Global
artigoEmPeriodico	2017		The future of information from a realistic perspective	PROJECT CONSULT Newsletter: Newsletter zum Information Management und Branchen-News.	ALDABALDE, T. V.; FRANCA, V. H.	Qualis nao identificado	PROJECT CONSULT Newsletter: Newsletter zum Information Management und Branchen-News.
artigoEmPeriodico	2017		Formação do profissional da informação: técnicas, tecnologias e mediações	REVISTA ACB (FLORIANÓPOLIS)	ALMEIDA JÚNIOR, OSWALDO FRANCISCO	Qualis nao identificado	REVISTA ACB (FLORIANÓPOLIS)
artigoEmPeriodico	2017		Avaliação do estresse ocupacional no cotidiano de policiais militares do Rio Grande do Sul	REVISTA ORGANIZAÇÕES EM CONTEXTO (ONLINE)	ALMEIDA, D. M. ; LOPES, L. F. D. ; COSTA, V. M. F ; SANTOS, R. C. T. ; CORREA, J. S.	Qualis nao identificado	REVISTA ORGANIZAÇÕES EM CONTEXTO (ONLINE)
artigoEmPeriodico	2017		A percepção de futuros administradores sobre o trabalho de pessoas com deficiência (PcDs): inclusão ou benevolência?	Diálogo (UNILASALLE)	ALMEIDA, D. M. ; MOURA, Gilnei Luiz de ; LOPES, L. F. D. ; SANTOS, R. C. T. ; BIANCHIM, B. V. ; COSTA, V. M. F	Qualis nao identificado	Diálogo (UNILASALLE)
